n_subj	errors	answer_length	number_shift	number_del	number_canc	number_space	number_arrow	prompted-firstdigit	Prompted-firstdigit_adjusted_GULPEASE	firstdigit-enter	prompted-enter	writing_time	time_key_before_enter_down	time_key_before_enter_flight	filtered_series_di_both_max	filtered_series_di_both_min	filtered_series_di_both_median	filtered_series_di_both_std	filtered_series_di_both_var	filtered_series_di_both_mean	filtered_series_di_up_max	filtered_series_di_up_min	filtered_series_di_up_median	filtered_series_di_up_std	filtered_series_di_up_var	filtered_series_di_up_mean	filtered_series_di_down_max	filtered_series_di_down_min	filtered_series_di_down_median	filtered_series_di_down_std	filtered_series_di_down_var	filtered_series_di_down_mean	filtered_series_di_flight_max	filtered_series_di_flight_min	filtered_series_di_flight_median	filtered_series_di_flight_std	filtered_series_di_flight_var	filtered_series_di_flight_mean	filtered_series_di_press_max	filtered_series_di_press_min	filtered_series_di_press_median	filtered_series_di_press_std	filtered_series_di_press_var	filtered_series_di_press_mean	filtered_series_tri_both_max	filtered_series_tri_both_min	filtered_series_tri_both_median	filtered_series_tri_both_std	filtered_series_tri_both_var	filtered_series_tri_both_mean	filtered_series_tri_up_max	filtered_series_tri_up_min	filtered_series_tri_up_median	filtered_series_tri_up_std	filtered_series_tri_up_var	filtered_series_tri_up_mean	filtered_series_tri_down_max	filtered_series_tri_down_min	filtered_series_tri_down_median	filtered_series_tri_down_std	filtered_series_tri_down_var	filtered_series_tri_down_mean	mind_condition
21	0.0556	20.6111	0.0000	0.9444	0.0000	2.8333	0.0556	8359.6111	8069.3667	11053.7778	19413.3889	520.5000	1339.7778	1239.6667	2819.2222	11.6111	90.7500	478.7868	621116.1938	218.5664	2916.7222	78.6111	226.5278	672.7986	1248829.0142	446.3710	2906.2222	89.4444	230.3333	670.5278	1238178.8009	446.3842	2819.2222	15.1667	162.6111	672.9242	1253646.2875	385.2856	123.8333	60.1111	85.0000	18.7903	384.2824	87.8739	3003.7222	151.7778	299.6667	671.3168	1237304.2340	513.7673	3354.1667	249.5000	534.4722	942.9042	2499063.0065	921.1219	3352.1667	262.0000	530.0000	939.3557	2488292.0779	921.6088	1
22	0.0000	10.0556	0.0000	0.0556	0.0000	0.3333	0.0000	1655.4444	1606.9133	4037.1111	5692.5556	293.2222	681.4444	551.1111	283.3889	22.2778	92.1944	62.4264	210325.0047	99.8419	412.4444	67.3889	172.7778	112.3673	16447.2847	9536.6778	393.3889	106.7222	174.2778	87.9354	11333.9661	11091.4666	333.7778	34.6111	109.8056	101.5957	14711.8781	6039.7573	167.3333	87.7778	122.3333	27.8278	939.2962	6958.1125	471.2222	164.4444	270.2778	95.1622	12544.7811	281.2133	611.9444	226.5000	374.5000	126.4228	24464.8754	396.7549	600.0556	265.8889	384.9167	110.5410	19751.1607	393.0461	0
23	0.0000	9.0556	0.0000	0.2222	0.0000	0.2222	0.0000	2501.6111	2417.4256	3717.0000	6218.6111	464.3333	626.7222	546.2778	641.6111	36.2778	83.3056	160.6288	43519.3940	5552.1561	723.8333	114.1111	175.8889	231.0468	92011.8026	279.8207	723.3889	111.8333	183.0278	230.0065	90792.3635	279.7452	641.6111	42.1111	107.6111	228.3381	90652.9251	205.4230	107.8333	60.2222	80.0278	15.7474	287.0547	81.2959	805.0556	184.7778	256.6944	233.5237	91955.2285	355.8461	967.9444	285.7222	503.8889	293.6410	152065.1552	561.5163	966.6667	298.0000	497.0278	293.4285	151904.0367	560.6740	0
24	0.3333	8.1667	0.0000	0.6111	0.0000	0.1667	0.0000	2715.8889	2621.0233	2405.1111	5121.0000	249.5556	486.3889	405.7778	425.1667	17.2222	77.3889	88.6699	13189.0028	96.7182	509.6111	67.1111	161.9444	138.4487	30775.0015	193.6847	512.7778	89.0556	161.3611	130.1861	27934.2580	196.4382	439.8333	32.0000	113.8611	135.1943	36803.3018	151.5669	121.1111	67.0556	80.8333	20.3431	526.3800	86.7276	472.0000	126.6111	213.3611	122.9354	18127.7359	247.2939	665.2222	220.9444	325.5556	165.9190	49484.6949	372.3233	690.6111	239.0556	333.1667	168.2749	49380.1805	381.9284	1
25	0.0556	9.2778	0.0000	0.2222	0.0000	0.2222	0.0000	3003.3333	2914.9028	2999.0000	6002.3333	337.0000	810.3333	723.3889	497.1667	25.7778	83.8889	121.1453	47888.4103	115.1515	599.2222	79.2778	174.2222	182.6747	107720.2241	232.1878	587.8889	86.1111	180.8889	179.0621	104365.4510	18688.6934	521.2222	34.6111	110.7222	204.1826	162586.7392	202.5056	128.9444	67.6111	92.0000	22.5590	556.7751	94.6772	475.0556	152.3889	256.7778	105.6905	13256.6817	276.1968	801.4444	241.4444	401.4167	226.8215	177473.8557	478.7761	788.6667	255.1667	384.9444	221.8587	171304.2306	479.7118	0
26	0.0000	8.6667	0.0556	0.3889	0.0000	0.2222	0.0000	2616.8333	2472.0178	3675.2778	6292.1111	556.6667	522.7222	432.8889	436.3333	28.1111	96.0278	101.1645	19691.7765	125.6297	542.3889	110.7222	233.7778	143.4452	35411.3346	257.9846	523.4444	124.4444	232.8056	134.9074	32562.9542	258.8687	437.0000	45.1667	143.0833	135.4036	33232.8267	170.5591	132.0000	70.6667	93.1111	20.6699	476.9130	95.7954	635.2222	197.8889	326.3889	146.4417	35108.8726	348.1339	758.5556	349.2222	482.9167	142.0831	33060.5713	502.8050	747.6667	368.7222	488.0000	134.5356	30253.2423	507.4582	0
27	0.0000	9.7778	0.0000	0.4444	0.0000	0.2222	0.0000	1687.0000	1629.4811	3283.2778	4970.2778	305.4444	546.7778	431.5000	348.2222	26.4444	103.0278	76.4478	8588.0635	116.7850	472.8889	103.5556	219.0556	114.7282	20195.3409	229.1667	442.1667	123.5000	218.2222	102.8734	16882.7895	232.5355	360.6111	33.7778	118.1667	106.0709	17799.2950	135.0110	153.7778	81.2778	110.3611	24.0926	693.0606	112.7810	557.7222	210.4444	321.4722	112.9774	19244.8606	334.6857	710.3333	303.6667	437.4722	143.5512	36884.1661	457.4485	694.0000	335.2778	444.5278	134.6216	33938.2458	464.0926	0
28	0.2778	9.1667	0.0000	0.5556	0.0000	0.1667	0.0556	3128.7222	3029.0283	4138.6111	7267.3333	408.5556	1092.4444	991.2778	514.7222	38.4444	92.7222	115.5462	24178.0797	126.5199	604.5556	128.6667	204.4167	165.6184	49819.4824	259.6323	608.8889	115.9444	199.4722	169.2081	51347.7477	257.6614	514.1111	46.8889	113.0000	164.9154	49555.5693	173.2693	122.1111	68.0000	88.9722	18.0479	357.6369	91.2041	700.0556	207.1111	292.1389	170.5581	51641.3382	346.7996	852.6667	298.7222	429.3889	227.0463	96751.0944	512.6324	854.6667	304.9444	427.5833	229.1481	97058.6805	512.3611	1
29	0.2778	8.8889	0.0000	1.2778	0.0000	0.1111	0.0000	5001.1667	4898.6267	5471.6111	10472.7778	444.4444	1705.3333	1613.1667	715.8333	20.3889	94.0000	141.1452	60869.0836	121.2580	813.0000	99.2778	180.5556	205.2953	124615.9721	242.3340	814.6111	100.8889	179.6944	205.1996	123630.3780	245.4577	730.1667	27.8333	105.2222	238.0070	207229.0017	194.9080	120.4444	76.9444	96.5000	14.5788	233.5346	97.5200	603.3333	169.0556	263.0278	139.2198	31506.1016	298.5063	993.8889	275.1667	400.1667	252.9841	211105.0856	492.5503	997.1667	292.0000	409.3611	253.4144	209884.1770	497.2059	1
30	0.2222	8.0000	1.1111	1.1667	0.0000	0.1111	0.7222	4355.1667	4089.1911	5154.0000	9509.1667	622.3333	1575.9444	1488.7778	479.3889	32.3889	83.5278	105.3813	16963.5526	115.2372	582.8889	91.1111	202.6111	159.4237	37107.6780	235.4200	565.6111	107.6667	197.6667	149.1461	34411.3838	235.0284	506.3333	52.8333	138.0833	153.6981	40369.7367	179.0975	125.1111	65.0000	80.1111	20.4688	621.9545	84.8773	598.2222	175.7222	267.8889	143.6409	31171.1766	302.1123	791.7778	279.4444	433.1111	196.2120	61578.5608	476.6475	772.0000	290.3889	426.1389	186.6257	59163.8440	471.3356	1
